symbol,name,decimals,depositFee,depositConfirmations,depositStatus,withdrawalFee,withdrawalMinAmount,withdrawalStatus,networks,message
DUSK,Dusk Network,8,0,32,OK,7,7,OK,['ETH'],
DYDX,dYdX,8,0,32,OK,1.3,1.3,OK,['ETH'],
DYM,Dymension,8,0,64,MAINTENANCE,0,0,MAINTENANCE,['DYM'],This asset is currently in trading only mode. Asset deposits and withdrawals are not possible.
EDU,Open Campus,8,0,35,OK,0.53,0.53,OK,['BSC'],
EGLD,MultiversX,8,0,1,OK,0.001,0.001,OK,['EGLD'],"Please note that only withdrawals through the MultiversX Network (ex Elrond Network) are supported, and that withdrawing to any other network may result in the loss of funds."
EIGEN,EigenLayer,8,0,32,OK,0.54,0.54,OK,['ETH'],
ELF,Aelf,8,0,32,OK,3.3,3.3,OK,['ETH'],
ENA,Ethena,8,0,32,OK,2.4,2.4,OK,['ETH'],
ENJ,Enjin,8,0,20,OK,0.01,0.01,OK,['ENJ'],
ENS,Ethereum Name Service,8,0,32,OK,0.038,0.038,OK,['ETH'],
EOS,EOS,4,0,400,OK,0.01,0.01,OK,['EOS'],
ERN,Ethernity,8,0,32,OK,0.44,0.44,OK,['ETH'],
ETC,Ethereum Classic,8,0,2880,OK,0.004,0.004,OK,['ETC'],
ETH,Ethereum,8,0,32,OK,0.000084,0.000084,OK,['ETH'],
ETHFI,ether.fi,8,0,32,OK,0.94,0.94,OK,['ETH'],
EUR,Euro,2,0,0,OK,0,0,OK,['SEPA'],
EUROC,Euro Coin,6,0,32,OK,0.75,0.75,OK,['ETH'],
EUROP,Schuman EUROP,6,0,32,OK,0.75,0.75,OK,['ETH'],
F,SynFutures,8,0,32,OK,30,30,OK,['ETH'],
FET,Fetch.ai,8,0,32,OK,1.4,1.4,OK,['ETH'],
FIDA,Solana Name Service,6,0,100,OK,0.6,0.6,OK,['SOL'],
FIL,Filecoin,8,0,60,OK,0,0,OK,['FIL'],
FIS,StaFi,8,0,32,OK,4.3,4.3,OK,['ETH'],
FLOKI,FLOKI,0,0,32,OK,11000,11000,OK,['ETH'],
