symbol,name,decimals,depositFee,depositConfirmations,depositStatus,withdrawalFee,withdrawalMinAmount,withdrawalStatus,networks,message
XLM,Stellar,7,0,1,OK,0,1,OK,['XLM'],
XRP,XRP,6,0,1,OK,0,10,OK,['XRP'],
XTZ,Tezos,6,0,30,OK,0.2,0.2,OK,['XTZ'],
XVG,Verge,6,0,100,OK,5,5,OK,['XVG'],
XYO,XYO,8,0,32,OK,67,67,OK,['ETH'],
YFI,Yearn Finance,8,0,32,OK,0.00015,0.00015,OK,['ETH'],
YGG,Yield Guild Games,8,0,32,OK,3.6,3.6,OK,['ETH'],
ZEN,Horizen,8,0,1,MAINTENANCE,1,1,MAINTENANCE,['ZEN'],
ZETA,ZetaChain,4,0,32,OK,3.1,3.1,OK,['ETH'],
ZEUS,Zeus Network,8,0,100,OK,0.24,0.24,OK,['SOL'],
ZIL,Zilliqa,8,0,5,MAINTENANCE,0.1,0.1,MAINTENANCE,['ZIL'],
ZK,zkSync,8,0,32,OK,2.6,2.6,OK,['ZK'],
ZRC,Zircuit,8,0,32,OK,18,18,OK,['ETH'],
ZRO,LayerZero,8,0,32,OK,0.36,0.36,OK,['ETH'],
ZRX,0x,8,0,32,OK,2.9,2.9,OK,['ETH'],
