market,status,base,quote,pricePrecision,minOrderInBaseAsset,minOrderInQuoteAsset,maxOrderInBaseAsset,maxOrderInQuoteAsset,orderTypes
GRASS-EUR,trading,GRASS,EUR,5,1.796295,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
XAI-EUR,trading,XAI,EUR,5,4.32,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
SKL-EUR,trading,SKL,EUR,5,47.78,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
CELO-EUR,trading,CELO,EUR,5,5.06,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
AUDIO-EUR,trading,AUDIO,EUR,5,16.09,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
KMNO-EUR,trading,KMNO,EUR,5,37.569325,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
CETUS-EUR,trading,CETUS,EUR,5,12.51379032,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
TOMO-EUR,trading,TOMO,EUR,5,6.6,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
FLUX-EUR,trading,FLUX,EUR,5,3.9,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
NFP-EUR,trading,NFP,EUR,5,5.90040122,5.00,1000000000.00000000,1000000000.00,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
HOT-EUR,trading,HOT,EUR,5,1306,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
LISTA-EUR,trading,LISTA,EUR,5,10,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
SWEAT-EUR,trading,SWEAT,EUR,5,600,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
POWR-EUR,trading,POWR,EUR,5,9,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
TLM-EUR,trading,TLM,EUR,5,238,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
TURBO-EUR,trading,TURBO,EUR,5,455.89021431,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
PIXEL-EUR,trading,PIXEL,EUR,5,7,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
OXT-EUR,trading,OXT,EUR,5,36,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
ZEN-EUR,trading,ZEN,EUR,5,0.39,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
THE-EUR,trading,THE,EUR,5,2.23163628,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
TRX-EUR,trading,TRX,EUR,5,30,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
TRUMP-EUR,trading,TRUMP,EUR,5,0.07444955,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
HMSTR-EUR,trading,HMSTR,EUR,5,619.19504644,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
BAL-EUR,trading,BAL,EUR,5,1.02,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
PYR-EUR,trading,PYR,EUR,5,0.645994832,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
BTT-EUR,trading,BTT,EUR,5,2000000,5,10000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
CHZ-EUR,trading,CHZ,EUR,5,36.00000000,5.00,1000000000.00000000,1000000000.00,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
AR-EUR,trading,AR,EUR,5,0.19,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
FIS-EUR,trading,FIS,EUR,5,14,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
PYTH-EUR,trading,PYTH,EUR,5,9.94,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
KAS-EUR,trading,KAS,EUR,5,33.99574393,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
DENT-EUR,trading,DENT,EUR,5,2000,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
COMP-EUR,trading,COMP,EUR,5,0.06,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
LUMIA-EUR,trading,LUMIA,EUR,5,5.4312405,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
ETHFI-EUR,trading,ETHFI,EUR,5,1,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
VELO-EUR,trading,VELO,EUR,5,72.94934201,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
ABT-EUR,trading,ABT,EUR,5,3.289473684,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
ADX-EUR,trading,ADX,EUR,5,22.46,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
ARPA-EUR,trading,ARPA,EUR,5,71.56,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
CFX-EUR,trading,CFX,EUR,5,17.46,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
SUPER-EUR,trading,SUPER,EUR,5,3.99000000,5.00,1000000000.00000000,1000000000.00,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
AERO-EUR,trading,AERO,EUR,5,5.24764453,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
MEW-EUR,trading,MEW,EUR,5,523.49443,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
XRP-EUR,trading,XRP,EUR,5,2.383175,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
SHIB-USDC,trading,SHIB,USDC,5,300824,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
JASMY-EUR,trading,JASMY,EUR,5,231.86,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
PONKE-EUR,trading,PONKE,EUR,5,11.00000000,5.00,1000000000.00000000,1000000000.00,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
DOGE-EUR,trading,DOGE,EUR,5,14.024939,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
DUSK-EUR,trading,DUSK,EUR,5,13.949784,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
BIGTIME-EUR,trading,BIGTIME,EUR,5,11.63061177,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
BEAM-EUR,trading,BEAM,EUR,5,141.2429379,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
HEI-EUR,trading,HEI,EUR,5,4.69094485,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
VIRTUAL-EUR,trading,VIRTUAL,EUR,5,1.70814245,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
WOO-EUR,trading,WOO,EUR,5,6,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
FXS-EUR,trading,FXS,EUR,5,0.61,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
CKB-EUR,trading,CKB,EUR,5,319,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
STX-USDC,trading,STX,USDC,5,1.79,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
STRK-EUR,trading,STRK,EUR,5,1.9,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
ONE-EUR,trading,ONE,EUR,5,200.00000000,5.00,1000000000.00000000,1000000000.00,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
ZRO-EUR,trading,ZRO,EUR,5,1.15,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
CPOOL-EUR,trading,CPOOL,EUR,5,5.89284663,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
HBAR-EUR,trading,HBAR,EUR,5,46.28,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
KAITO-EUR,trading,KAITO,EUR,5,5.95552292,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
WIF-EUR,trading,WIF,EUR,5,1.774813,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
BRETT-EUR,trading,BRETT,EUR,5,44.748295,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
ILV-EUR,trading,ILV,EUR,5,0.03,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
LQTY-EUR,trading,LQTY,EUR,5,3,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
BOME-EUR,trading,BOME,EUR,5,500.000000,5.00,1000000000.000000,1000000000.00,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
AIOZ-EUR,trading,AIOZ,EUR,5,8.85000000,5.00,1000000000.00000000,1000000000.00,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
SXP-EUR,trading,SXP,EUR,5,11.05,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
AMP-EUR,trading,AMP,EUR,5,681,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
MANA-EUR,trading,MANA,EUR,5,8.18,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
AVA-EUR,trading,AVA,EUR,5,3.1970917,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
EUROP-EUR,trading,EUROP,EUR,5,5.000425,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
SEI-EUR,trading,SEI,EUR,5,6.86,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
BAT-EUR,trading,BAT,EUR,5,16.53,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
MOODENG-EUR,trading,MOODENG,EUR,5,15.404532,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
DCR-EUR,trading,DCR,EUR,5,0.22,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
IDEX-EUR,trading,IDEX,EUR,5,63.00000000,5.00,1000000000.00000000,1000000000.00,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
LUNA-EUR,trading,LUNA,EUR,5,29568,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
STG-EUR,trading,STG,EUR,5,13,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
ONG-EUR,trading,ONG,EUR,5,7.875824,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
MAV-EUR,trading,MAV,EUR,5,9.00000000,5.00,1000000000.00000000,1000000000.00,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
HIFI-EUR,trading,HIFI,EUR,5,5.55000000,5.00,1000000000.00000000,1000000000.00,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
AERGO-EUR,trading,AERGO,EUR,5,44,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
IOTX-EUR,trading,IOTX,EUR,5,86.34087377,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
ANIME-EUR,trading,ANIME,EUR,5,6.74053147,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
EGLD-EUR,trading,EGLD,EUR,5,0.08,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
XTZ-EUR,trading,XTZ,EUR,5,3.820000,5.00,1000000000.000000,1000000000.00,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
PEPE-EUR,trading,PEPE,EUR,5,199203.1873,5,10000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
KDA-EUR,trading,KDA,EUR,5,4.54,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
ORCA-EUR,trading,ORCA,EUR,5,2.00000000,5.00,1000000000.00000000,1000000000.00,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
XLM-EUR,trading,XLM,EUR,5,12.85207,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
AEVO-EUR,trading,AEVO,EUR,5,2,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
FLOKI-EUR,trading,FLOKI,EUR,5,25252.525253,5,10000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
MLN-EUR,trading,MLN,EUR,5,0.24,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
ZETA-EUR,trading,ZETA,EUR,5,2.55,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
NEAR-USDC,trading,NEAR,USDC,5,0.73964497,5.000000,1000000000.00000000,1000000000.000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
ATA-EUR,trading,ATA,EUR,5,23.4,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
FET-EUR,trading,FET,EUR,5,2,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
EDU-EUR,trading,EDU,EUR,5,5.86000000,5.00,1000000000.00000000,1000000000.00,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
TIA-USDC,trading,TIA,USDC,5,0.73267511,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
NANO-EUR,trading,NANO,EUR,5,3.78,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
ETH-USDC,trading,ETH,USDC,5,0.00155231294,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
POPCAT-EUR,trading,POPCAT,EUR,5,3.96744698,5.00,1000000000.00000000,1000000000.00,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
ARKM-EUR,trading,ARKM,EUR,5,2,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
NOS-EUR,trading,NOS,EUR,5,1.371752,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
VTHO-EUR,trading,VTHO,EUR,5,1125,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
POL-EUR,trading,POL,EUR,5,9.60220422,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
BNT-EUR,trading,BNT,EUR,5,5.83,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
COS-EUR,trading,COS,EUR,5,479,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
ACA-EUR,trading,ACA,EUR,5,33,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
TOKEN-EUR,trading,TOKEN,EUR,5,114.39664055,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
WLD-USDC,trading,WLD,USDC,5,1.61290323,5.000000,1000000000.00000000,1000000000.000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
FTT-EUR,trading,FTT,EUR,5,2.57,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
WIN-EUR,trading,WIN,EUR,5,25329.000000,5.00,1000000000.000000,1000000000.00,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
AXL-EUR,trading,AXL,EUR,5,2.47,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
CVC-EUR,trading,CVC,EUR,5,38.55,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
LMWR-EUR,trading,LMWR,EUR,5,16,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
LTC-EUR,trading,LTC,EUR,5,0.06,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
AKT-EUR,trading,AKT,EUR,5,1.577474,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
NOT-EUR,trading,NOT,EUR,5,340,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
ACE-EUR,trading,ACE,EUR,5,0.56000000,5.00,1000000000.00000000,1000000000.00,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
SHIB-EUR,trading,SHIB,EUR,5,151057.4,5,10000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
XDC-EUR,trading,XDC,EUR,5,198,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
PERP-EUR,trading,PERP,EUR,5,3.33,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
THETA-EUR,trading,THETA,EUR,5,2.31,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
S-USDC,trading,S,USDC,5,6.65770096,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
ARB-EUR,trading,ARB,EUR,5,2,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
GLMR-EUR,trading,GLMR,EUR,5,9,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
NULS-EUR,trading,NULS,EUR,5,8.118426,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
ZRX-EUR,trading,ZRX,EUR,5,12.28000000,5.00,1000000000.00000000,1000000000.00,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
NMR-EUR,trading,NMR,EUR,5,0.16,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
NKN-EUR,trading,NKN,EUR,5,35.31,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
BNX-EUR,trading,BNX,EUR,5,5,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
RSR-EUR,trading,RSR,EUR,5,379.003222,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
COW-EUR,trading,COW,EUR,5,12.62531236,5.00,1000000000.00000000,1000000000.00,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
TWT-EUR,trading,TWT,EUR,5,4.09,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
UTK-EUR,trading,UTK,EUR,5,52.12,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
SCR-EUR,trading,SCR,EUR,5,4.2369489,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
ONT-EUR,trading,ONT,EUR,5,16.32,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
BAND-EUR,trading,BAND,EUR,5,2.22,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
ATOM-EUR,trading,ATOM,EUR,5,0.43,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
CTC-EUR,trading,CTC,EUR,5,4.3879403,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
ATH-EUR,trading,ATH,EUR,5,89.28747788,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
PEAQ-EUR,trading,PEAQ,EUR,5,15.65,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
PORTAL-EUR,trading,PORTAL,EUR,5,2,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
JTO-EUR,trading,JTO,EUR,5,1.93,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
XYO-EUR,trading,XYO,EUR,5,151.401371,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
D-EUR,trading,D,EUR,5,27.44882082,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
LRC-EUR,trading,LRC,EUR,5,16.43,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
ACH-EUR,trading,ACH,EUR,5,187,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
YGG-EUR,trading,YGG,EUR,5,5.690143,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
DODO-EUR,trading,DODO,EUR,5,24,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
DEEP-EUR,trading,DEEP,EUR,5,49.31466131,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
GOAT-EUR,trading,GOAT,EUR,5,4.879497,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
EOS-EUR,trading,EOS,EUR,5,4.91,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
DNT-EUR,trading,DNT,EUR,5,78.33000000,5.00,1000000000.00000000,1000000000.00,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
PUFFER-EUR,trading,PUFFER,EUR,5,6.36851244,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
